JobTitle,TechnicalSkills,Frameworks,VersionControl,SoftSkills,Tools
Construction Management Software Engineer,"Project Management, Software Development","Agile, Waterfall",Git,"Leadership, Communication","Microsoft Project, Excel"
BIM (Building Information Modeling) Engineer,"BIM, 3D Modeling","Revit, Navisworks",Git,"Problem-solving, Collaboration","AutoCAD, BIM 360"
Project Management Software Specialist,"Project Management, Software Implementation","Trello, Asana",Git,"Adaptability, Time Management","JIRA, Microsoft Project"
Construction Software Developer,"Software Development, Programming","Java, C#",Git,"Creativity, Teamwork","Visual Studio, GitHub"
Construction Technology Consultant,"Construction Management, Technology Solutions","AutoCAD, Revit",Git,"Analytical Skills, Negotiation","Microsoft Excel, Power BI"
Construction Data Analyst,"Data Analysis, Construction Metrics","R, Python",Git,"Attention to Detail, Communication","Tableau, Excel"
Civil Engineering Software Developer (Construction),"Civil Engineering, Software Development","AutoCAD, MATLAB",Git,"Problem-solving, Teamwork","Visual Studio, JIRA"
Construction Simulation Engineer,"Simulation Modeling, Data Analysis","Arena, AnyLogic",Git,"Creativity, Critical Thinking","MATLAB, Python"
Construction Scheduling Software Engineer,"Scheduling, Software Development","Primavera P6, MS Project",Git,"Time Management, Organization","Excel, JIRA"
Construction Estimation Software Specialist,"Estimation, Data Analysis","CostOS, WinEst",Git,"Attention to Detail, Analytical Skills","Excel, MS Project"
Project Controls Software Analyst,"Project Controls, Data Analysis","Primavera P6, MS Project",Git,"Analytical Thinking, Communication","Power BI, Excel"
Virtual Construction Engineer,"Virtual Reality, 3D Modeling","Revit, Navisworks",Git,"Adaptability, Teamwork","BIM 360, SketchUp"
Construction Software Implementation Consultant,"Software Implementation, Training","MS Project, Primavera P6",Git,"Communication, Leadership","JIRA, Excel"
Construction ERP Specialist,"ERP Systems, Construction Management","SAP, Oracle",Git,"Teamwork, Problem-solving","Power BI, Excel"
Quantity Surveying Software Engineer,"Quantity Surveying, Estimation","CostX, WinQS",Git,"Attention to Detail, Analytical Skills","Excel, AutoCAD"
Construction Planning Software Specialist,"Planning, Scheduling","Primavera P6, MS Project",Git,"Leadership, Communication","Microsoft Excel, Power BI"
Construction Workflow Automation Engineer,"Automation, Process Improvement","BIM 360, Zapier",Git,"Problem-solving, Initiative","Excel, JIRA"
Construction Software Integration Specialist,"Software Integration, API Development","Zapier, MS Project",Git,"Critical Thinking, Adaptability","Postman, Excel"
BIM Coordinator,"BIM Management, Coordination","Revit, Navisworks",Git,"Collaboration, Leadership","BIM 360, AutoCAD"
Digital Construction Engineer,"Digital Construction, 3D Modeling","Revit, Civil 3D",Git,"Communication, Problem-solving","BIM 360, SketchUp"
Construction Management Information Systems Analyst,"Information Systems, Data Analysis","SQL, MS Access",Git,"Analytical Skills, Teamwork","Excel, Power BI"
Construction Costing Software Specialist,"Cost Estimation, Software Development","CostX, WinEst",Git,"Attention to Detail, Analytical Skills","Excel, JIRA"
Construction Documentation Software Engineer,"Documentation, Software Development","MS Project, AutoCAD",Git,"Communication, Organization","Excel, Word"
Construction Project Control Software Consultant,"Project Controls, Software Solutions","Primavera P6, MS Project",Git,"Critical Thinking, Teamwork","Power BI, Excel"
Civil Engineering CAD Specialist (Construction),"CAD, Design","AutoCAD, Civil 3D",Git,"Attention to Detail, Creativity","Revit, Excel"
Construction Software Quality Assurance Engineer,"Quality Assurance, Testing","Selenium, JUnit",Git,"Analytical Skills, Problem-solving","JIRA, Excel"
Construction Technology Specialist,"Construction Technology, Innovation","Revit, BIM 360",Git,"Creativity, Teamwork","AutoCAD, Microsoft Project"
Construction Project Tracking Software Specialist,"Project Tracking, Software Development","Trello, Asana",Git,"Organization, Communication","Excel, JIRA"
Building Lifecycle Software Engineer,"Building Lifecycle, Software Development","Revit, BIM 360",Git,"Problem-solving, Initiative","AutoCAD, Microsoft Project"
Construction Site Management Software Developer,"Site Management, Software Development","AutoCAD, MS Project",Git,"Leadership, Communication","Excel, Power BI"
Construction Resource Planning Software Analyst,"Resource Planning, Data Analysis","Primavera P6, MS Project",Git,"Analytical Skills, Collaboration","Excel, JIRA"
Construction Digital Twin Engineer,"Digital Twin Technology, Modeling","Revit, AnyLogic",Git,"Attention to Detail, Creativity","BIM 360, MATLAB"
Construction Project Analytics Engineer,"Analytics, Data Management","R, Python",Git,"Critical Thinking, Teamwork","Power BI, Excel"
Construction Risk Management Software Analyst,"Risk Management, Data Analysis","Primavera P6, MS Project",Git,"Problem-solving, Communication","Excel, JIRA"
Construction Workflow Software Consultant,"Workflow Optimization, Software Solutions","Zapier, Asana",Git,"Adaptability, Teamwork","Excel, Power BI"
Civil Engineering Software Tester (Construction),"Software Testing, QA","Selenium, JUnit",Git,"Attention to Detail, Problem-solving","JIRA, Excel"
Construction Document Management Software Engineer,"Document Management, Software Development","MS Project, SharePoint",Git,"Organization, Communication","Excel, Power BI"
Construction Data Visualization Specialist,"Data Visualization, Data Analysis","Tableau, Power BI",Git,"Analytical Skills, Creativity","Excel, R"
Construction Software Solutions Architect,"Software Architecture, Design",".NET, Java",Git,"Leadership, Critical Thinking","Visual Studio, JIRA"
Construction Cloud Solutions Engineer,"Cloud Computing, Software Development","AWS, Azure",Git,"Adaptability, Problem-solving","Power BI, Excel"
BIM Manager,"BIM Management, Coordination","Revit, Navisworks",Git,"Leadership, Communication","BIM 360, AutoCAD"
Construction Process Automation Specialist,"Process Automation, Software Development","Zapier, Python",Git,"Critical Thinking, Initiative","Power BI, Excel"
Digital Project Manager (Construction),"Project Management, Digital Tools","MS Project, Trello",Git,"Adaptability, Leadership","JIRA, Excel"
Construction Collaboration Software Engineer,"Collaboration Tools, Software Development","Microsoft Teams, Slack",Git,"Teamwork, Communication","Excel, Power BI"
Construction Asset Management Software Engineer,"Asset Management, Software Development","IBM Maximo, SAP",Git,"Analytical Skills, Organization","Excel, Power BI"
Construction Estimation and Planning Software Developer,"Estimation, Planning","CostX, Primavera P6",Git,"Attention to Detail, Teamwork","Excel, JIRA"
Construction Engineering Software Integration Engineer,"Software Integration, Engineering","AutoCAD, Revit",Git,"Problem-solving, Adaptability","Excel, Power BI"
Construction Management Software Product Manager,"Product Management, Software Development","Agile, Scrum",Git,"Leadership, Strategic Thinking","JIRA, Power BI"
Construction Financial Software Analyst,"Financial Analysis, Software Development","Excel, SQL",Git,"Analytical Skills, Problem-solving","Power BI, JIRA"
4D Construction Software Specialist,"4D Modeling, Scheduling","Navisworks, Synchro",Git,"Creativity, Communication","Excel, Power BI"
Water Resources Software Engineer,"Hydraulics, GIS, Modeling","HEC-RAS, SWMM",Git,"Problem-solving, Communication","ArcGIS, MATLAB"
Hydraulic Modeling Engineer,"Hydraulic Analysis, Simulation","OpenFOAM, MIKE by DHI",Git,"Teamwork, Critical Thinking","Python, HEC-HMS"
Hydrologic Modeler,"Hydrologic Cycle, Data Analysis","MODFLOW, XP-SWMM",SVN,Attention to Detail,"R, Python"
