JobTitle,TechnicalSkills,Frameworks,VersionControl,SoftSkills,Tools
Software Engineer,"Python, Java, C++, JavaScript, C#","React, Angular","Git, GitHub","Problem Solving, Teamwork, Adaptability, Time Management, Communication","Visual Studio Code, IntelliJ IDEA"
Data Scientist,"R, Python, SQL, Java, Scala","TensorFlow, Keras, Scikit-learn","Git, GitHub","Analytical Thinking, Creativity, Attention to Detail, Collaboration, Presentation Skills","Jupyter Notebooks, TensorFlow, PyTorch"
Machine Learning Engineer,"Python, R, C++, Java, Julia","TensorFlow, Keras","Git, GitHub","Analytical Thinking, Problem Solving, Collaboration, Creativity, Time Management","TensorFlow, PyTorch, MLflow"
Data Analyst,"SQL, Python, R, Java, Excel","Tableau, Power BI","Git, GitHub","Attention to Detail, Analytical Thinking, Communication, Time Management, Collaboration","Excel, Tableau, Power BI"
Web Developer,"JavaScript, HTML, CSS, PHP, Ruby","React, Angular, Vue.js,","Git, GitHub","Creativity, Problem Solving, Adaptability, Teamwork, Communication","Visual Studio Code, Webpack, Nginx"
Systems Analyst,"Java, Python, C#, SQL, JavaScript","Spring, ASP.NET, Django","Git, Bitbucket","Analytical Thinking, Problem Solving, Communication, Teamwork, Adaptability","Jira, Confluence, SQL"
Database Administrator,"SQL, Python, Java, C#, NoSQL","MySQL, PostgreSQL","Git, GitHub","Attention to Detail, Analytical Thinking, Problem Solving, Communication, Time Management","SQL Server Management Studio (SSMS), Oracle DB"
Network Engineer,"Python, C, C++, Java, Shell","Wireshark, TCP/IP","Git, Bitbucket","Analytical Thinking, Problem Solving, Attention to Detail, Collaboration, Communication","Wireshark, Nmap, Cisco tools"
Cloud Engineer,"Python, Java, C#, Go, Ruby","AWS, Azure, Google Cloud","Git, GitHub","Adaptability, Problem Solving, Teamwork, Time Management, Communication","AWS, Azure, Google Cloud"
DevOps Engineer,"Bash, Python, Go, Java, C#","Docker, Kubernetes","Git, GitHub","Collaboration, Problem Solving, Time Management, Adaptability, Communication","Jenkins, Docker, Kubernetes"
Cybersecurity Analyst,"C, Python, Ruby, Java, JavaScript","Kali Linux, Metasploit","Git, GitHub","Analytical Thinking, Attention to Detail, Problem Solving, Collaboration, Communication","Kali Linux, Metasploit, Wireshark, Snort"
IT Support Specialist,"Python, Java, JavaScript, C#, Bash","ServiceNow, Atlassian, JIRA","GitHub, Bitbucket","Problem Solving, Communication, Patience, Teamwork, Adaptability","Jira, ServiceNow"
Software Architect,"Java, Python, C#, Ruby, JavaScript","Spring, Flask, Django","Git, GitHub","Leadership, Analytical Thinking, Problem Solving, Communication, Time Management","Visual Studio, IntelliJ IDEA"
Full Stack Developer,"JavaScript, Python, Java, Ruby, PHP","React, Angular, Django","Git, GitHub","Creativity, Problem Solving, Collaboration, Communication, Adaptability","Visual Studio Code, Docker"
Front End Developer,"JavaScript, HTML, CSS, React, Vue.js","Angular, Bootstrap, Foundation","Git, GitHub","Creativity, Attention to Detail, Collaboration, Communication, Time Management","React, Angular, Vue.js"
Back End Developer,"Java, Python, Ruby, C#, Node.js","Express.js, Django, Flask, ","Git, GitHub","Problem Solving, Analytical Thinking, Collaboration, Time Management, Communication","Node.js, Express.js, Flask"
Mobile App Developer,"Swift, Java, Kotlin, React Native, Flutter","Xcode, Android Studio","Git, GitHub","Creativity, Problem Solving, Adaptability, Teamwork, Communication","Android Studio, Xcode"
AI Research Scientist,"Python, R, Java, C++, Julia","TensorFlow, Keras, PyTorch","Git, GitHub","Analytical Thinking, Creativity, Problem Solving, Collaboration, Research Skills","TensorFlow, PyTorch"
Business Intelligence Analyst,"SQL, Python, R, Java, Excel","Tableau, Power BI, Looker","Git, GitHub","Analytical Thinking, Problem Solving, Communication, Collaboration, Attention to Detail","Tableau, Power BI"
UX/UI Designer,"HTML, CSS, JavaScript, Sketch, Figma","Adobe XD, InVision, Axure","Git, GitHub","Communication, Empathy, Collaboration, Attention to Detail","Figma, Sketch, Adobe XD"
Game Developer,"C#, C++, JavaScript, Python, Java","Unity, Unreal Engine, GODOT","Git, GitHub","Creativity, Problem Solving, Teamwork, Attention to Detail, Communication","Unity, Unreal Engine"
