JobTitle,TechnicalSkills,Frameworks,VersionControl,SoftSkills,Tools
Aerospace Engineer,"Aerodynamics, Propulsion, Thermodynamics, Fluid Mechanics","CATIA, MATLAB, ANSYS, Simulink",Git,"Problem Solving, Attention to Detail, Teamwork","SolidWorks, ANSYS, CATIA"
Avionics Engineer,"Embedded Systems, Circuit Design, FPGA","VxWorks, Simulink, LabVIEW, DO-178C",Git,"Analytical Thinking, Communication, Collaboration","Altium Designer, LabVIEW"
Flight Test Engineer,"Flight Dynamics, Instrumentation, Data Acquisition Systems","TestFlight, MATLAB, LabVIEW, NI TestStand",Git,"Teamwork, Attention to Detail, Communication","NI TestStand, TestPilot"
Structural Engineer,"Finite Element Analysis (FEA), Stress Analysis, Materials Science","ANSYS, Abaqus, SolidWorks, CATIA",Git,"Attention to Detail, Problem Solving, Teamwork","AutoCAD, SolidWorks"
Systems Engineer,"System Design, Integration, Testing, Requirements Analysis","SysML, MATLAB, Simulink, DOORS",Git,"Analytical Thinking, Communication, Teamwork","MATLAB, Simulink, Model-Based Design"
Propulsion Engineer,"Fluid Dynamics, Combustion, Turbomachinery, Heat Transfer","MATLAB, GT-SUITE, ANSYS Fluent, Simulink",Git,"Problem Solving, Creativity, Attention to Detail","GT-SUITE, AVL BOOST"
Aerospace Manufacturing Engineer,"CNC Programming, 3D Printing, Lean Manufacturing","CATIA, SolidWorks, NX, AutoCAD",Git,"Leadership, Communication, Problem Solving","Mastercam, Siemens NX"
Aircraft Maintenance Engineer,"Mechanical Systems, Electrical Systems, Diagnostics","AMOS, Maximo, RAMCO, COMSOFT",Git,"Attention to Detail, Problem Solving, Communication","AMM (Aircraft Maintenance Manual), SAP"
Airworthiness Engineer,"Compliance, Certification, Safety, Regulations","FAA Certification Tools, DO-178C, ARP-4754A, DOORS",Git,"Attention to Detail, Communication, Critical Thinking",Federal Aviation Administration (FAA) Database
Materials Engineer,"Metallurgy, Composite Materials, Failure Analysis","COMSOL, ANSYS, SolidWorks, MatWeb",Git,"Problem Solving, Attention to Detail, Communication","LabView, SEM, X-ray diffraction tools"
